"StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","Age","Gender","Gender_4_TEXT","Q15","Q5","Q7","Q44","TravelScore","FitnessScore","FamilyScore","WorkScore","LeisureScore","PresentationType","CompleteFlag","confirmation","personalization","purchases","purchase_amount","top_lifestyle","max_lifestyle_value","accurate","generic","inaccurate","bundle","individual"
"2025-07-28 11:15:44","2025-07-28 11:17:02","100","78","True","2025-07-28 11:17:02","R_3q6EGbnIMDZPXCp","anonymous","EN","0.8999999761581421","55-64 years old","Male","","Less than $25,000","Watching shows, playing games, or relaxing","I enjoy entertainment and look for ways to relax and have fun","IM_b3K7jxlFVxXXbwy","0","0","0","0","3","Generic_Bundle","true","","Not at all","None of the above ($0.00)",0,"LeisureScore","3",0,1,0,1,0
"2025-07-28 11:15:17","2025-07-28 11:17:12","100","114","True","2025-07-28 11:17:12","R_7FLj7NnUs2vhRyc","anonymous","EN","1","45-54 years old","Male","","$25,000-$49,999","Watching shows, playing games, or relaxing","Advancing in my career or studies is my top priority","IM_b3K7jxlFVxXXbwy","0","0","0","1","2","Inaccurate_Individual","true","I read the product page and product descriptions","Definitely","Anker Portable Charger ($54.99),Roku Streaming Stick 4K ($46.99),HD Mini Projector ($59.99),JBL Clip 5 Speaker ($79.95)",241.92,"LeisureScore","2",0,0,1,0,1
"2025-07-28 11:13:02","2025-07-28 11:17:39","100","277","True","2025-07-28 11:17:40","R_5EBAEPcEG8DUGnD","anonymous","EN","1","55-64 years old","Female","","$100,000-$149,999","Catching up on work, studying, or learning something new","I focus on building a comfortable and stable home life","IM_b3K7jxlFVxXXbwy","0","0","1","1","1","Generic_Bundle","true","I read the product page and product descriptions","A little","Tile by Life360 Pro ($34.99),HD Mini Projector ($59.99),JBL Clip 5 Speaker ($79.95)",174.93,"FamilyScore","1",0,1,0,1,0
"2025-07-28 11:15:38","2025-07-28 11:17:41","100","123","True","2025-07-28 11:17:42","R_39g1uYRojFoAjaN","anonymous","EN","0.8999999761581421","35-44 years old","Female","","$25,000-$49,999","Spending time at home with family","I focus on building a comfortable and stable home life","IM_2ghGARjtqABRyjY","1","0","2","0","0","Generic_Individual","true","I read the product page and product descriptions","A little","Apple Airpods 4 ($129.00)",129,"FamilyScore","2",0,1,0,0,1
"2025-07-28 11:15:26","2025-07-28 11:17:52","100","145","True","2025-07-28 11:17:52","R_7wi6QlNDdbstqAV","anonymous","EN","0.8999999761581421","35-44 years old","Male","","$100,000-$149,999","Spending time at home with family","I enjoy entertainment and look for ways to relax and have fun","IM_2ghGARjtqABRyjY","1","0","1","0","1","Accurate_Bundle","true","I read the product page and product descriptions","Definitely","HD Mini Projector ($59.99)",59.99,"TravelScore","1",1,0,0,1,0
"2025-07-28 11:15:49","2025-07-28 11:17:56","100","126","True","2025-07-28 11:17:57","R_7QYsSX7uo38ekTb","anonymous","EN","1","45-54 years old","Female","","$100,000-$149,999","Spending time at home with family","I focus on building a comfortable and stable home life","IM_b3K7jxlFVxXXbwy","0","0","2","0","1","Inaccurate_Bundle","true","I read the product page and product descriptions","A little","Bundle ($230.98)",230.98,"FamilyScore","2",0,0,1,1,0
"2025-07-28 11:16:07","2025-07-28 11:18:10","100","123","True","2025-07-28 11:18:11","R_1ZP9vIk9AXGaSUp","anonymous","EN","0.8999999761581421","45-54 years old","Male","","$75,000-$99,999","Exercising, going to the gym, or outdoor activities","I try to maintain a healthy body and mind","IM_2ghGARjtqABRyjY","1","2","0","0","0","Inaccurate_Bundle","true","I read the product page and product descriptions","A little","Tile by Life360 Pro ($34.99)",34.99,"FitnessScore","2",0,0,1,1,0
"2025-07-28 11:16:12","2025-07-28 11:18:13","100","120","True","2025-07-28 11:18:13","R_1Ep3HQq6N5suquw","anonymous","EN","0.800000011920929","55-64 years old","Female","","$25,000-$49,999","Watching shows, playing games, or relaxing","I like to stay on the move and explore new environments","IM_b3K7jxlFVxXXbwy","1","0","0","0","2","Generic_Bundle","true","I read the product page and product descriptions","Definitely","None of the above ($0.00)",0,"LeisureScore","2",0,1,0,1,0
"2025-07-28 11:15:55","2025-07-28 11:18:19","100","144","True","2025-07-28 11:18:19","R_5ccj0nI3dBIwLH4","anonymous","EN","0.8999999761581421","18-24 years old","Female","","$50,000-$74,999","Watching shows, playing games, or relaxing","I enjoy entertainment and look for ways to relax and have fun","IM_b3K7jxlFVxXXbwy","0","0","0","0","3","Accurate_Bundle","true","I read the product page and product descriptions","A little","Tile by Life360 Pro ($34.99),HD Mini Projector ($59.99),JBL Clip 5 Speaker ($79.95)",174.93,"LeisureScore","3",1,0,0,1,0
"2025-07-28 11:15:51","2025-07-28 11:18:24","100","153","True","2025-07-28 11:18:25","R_5XbaAv7tE6Ciyei","anonymous","EN","0.8999999761581421","55-64 years old","Female","","$50,000-$74,999","Spending time at home with family","I enjoy entertainment and look for ways to relax and have fun","IM_2ghGARjtqABRyjY","1","0","1","0","1","Accurate_Individual","true","I read the product page and product descriptions","A little","Roku Streaming Stick 4K ($46.99),HD Mini Projector ($59.99)",106.98,"TravelScore","1",1,0,0,0,1
"2025-07-28 11:15:49","2025-07-28 11:18:26","100","156","True","2025-07-28 11:18:26","R_6pYaPsGOBFpgt6A","anonymous","EN","1","65+ years old","Male","","Less than $25,000","Catching up on work, studying, or learning something new","I focus on building a comfortable and stable home life","IM_ac1nk23vrUF5PBs","0","0","1","2","0","Generic_Individual","true","I read the product page and product descriptions","Not at all","None of the above ($0.00)",0,"WorkScore","2",0,1,0,0,1
"2025-07-28 11:14:45","2025-07-28 11:18:27","100","221","True","2025-07-28 11:18:27","R_7JCRTzjpYkYh8nw","anonymous","EN","1","45-54 years old","Male","","Less than $25,000","Catching up on work, studying, or learning something new","Advancing in my career or studies is my top priority","IM_b3K7jxlFVxXXbwy","0","0","0","2","1","Accurate_Individual","true","","Definitely","JBL Clip 5 Speaker ($79.95)",79.95,"WorkScore","2",1,0,0,0,1
"2025-07-28 11:15:41","2025-07-28 11:18:39","100","178","True","2025-07-28 11:18:39","R_5lnRGn7XEZbqZTB","anonymous","EN","1","65+ years old","Male","","$25,000-$49,999","Watching shows, playing games, or relaxing","I focus on building a comfortable and stable home life","IM_b3K7jxlFVxXXbwy","0","0","1","0","2","Generic_Bundle","true","I read the product page and product descriptions","Not at all","None of the above ($0.00)",0,"LeisureScore","2",0,1,0,1,0
"2025-07-28 11:16:15","2025-07-28 11:18:39","100","143","True","2025-07-28 11:18:40","R_5U5jUrU9MqjOr5S","anonymous","EN","0.5","55-64 years old","Female","","Less than $25,000","Watching shows, playing games, or relaxing","I focus on building a comfortable and stable home life","IM_2ghGARjtqABRyjY","1","0","1","0","1","Inaccurate_Individual","true","","Not at all","None of the above ($0.00)",0,"TravelScore","1",0,0,1,0,1
"2025-07-28 11:14:50","2025-07-28 11:18:52","100","241","True","2025-07-28 11:18:52","R_5B8wt05DFKLOe5Y","anonymous","EN","1","65+ years old","Female","","$50,000-$74,999","Spending time at home with family","I enjoy entertainment and look for ways to relax and have fun","IM_b3K7jxlFVxXXbwy","0","0","1","0","2","Inaccurate_Bundle","true","I read the product page and product descriptions","A little","None of the above ($0.00)",0,"LeisureScore","2",0,0,1,1,0
"2025-07-28 11:15:55","2025-07-28 11:19:00","100","184","True","2025-07-28 11:19:01","R_1rfVjjBDqGHChkR","anonymous","EN","1","65+ years old","Female","","$25,000-$49,999","Spending time at home with family","I try to maintain a healthy body and mind","IM_2ghGARjtqABRyjY","1","1","1","0","0","Accurate_Individual","true","I read the product page and product descriptions","A little","Anker Portable Charger ($54.99)",54.99,"TravelScore","1",1,0,0,0,1
"2025-07-28 11:16:14","2025-07-28 11:19:11","100","176","True","2025-07-28 11:19:11","R_3e2dyDaZD0RKB7H","anonymous","EN","0.8999999761581421","45-54 years old","Male","","$50,000-$74,999","Watching shows, playing games, or relaxing","I focus on building a comfortable and stable home life","IM_2ghGARjtqABRyjY","1","0","1","0","1","Inaccurate_Individual","true","I read the product page and product descriptions","A little","Apple Airpods 4 ($129.00),Anker Portable Charger ($54.99),HD Mini Projector ($59.99)",243.98,"TravelScore","1",0,0,1,0,1
"2025-07-28 11:16:01","2025-07-28 11:21:32","100","330","True","2025-07-28 11:21:33","R_7tbim45IjgWrPlD","anonymous","EN","0.8999999761581421","55-64 years old","Female","","$75,000-$99,999","Watching shows, playing games, or relaxing","I enjoy entertainment and look for ways to relax and have fun","IM_b3K7jxlFVxXXbwy","0","0","0","0","3","Accurate_Bundle","true","I read the product page and product descriptions","Definitely","Bundle ($230.98)",230.98,"LeisureScore","3",1,0,0,1,0
"2025-07-28 11:15:42","2025-07-28 11:23:44","100","481","True","2025-07-28 11:23:45","R_7C7LrrvIFce1E6A","anonymous","EN","0.6000000238418579","65+ years old","Female","","$25,000-$49,999","Spending time at home with family","I focus on building a comfortable and stable home life","IM_b3K7jxlFVxXXbwy","0","0","2","0","1","Generic_Individual","true","I read the product page and product descriptions","Definitely","Anker Portable Charger ($54.99),Roku Streaming Stick 4K ($46.99),Tile by Life360 Pro ($34.99),HD Mini Projector ($59.99)",196.96,"FamilyScore","2",0,1,0,0,1
"2025-07-28 11:15:18","2025-07-28 11:50:26","100","2108","True","2025-07-28 11:50:27","R_7X5P2KnHc7WWdcz","anonymous","EN","1","25-34 years old","Female","","$50,000-$74,999","Watching shows, playing games, or relaxing","I try to maintain a healthy body and mind","IM_6Jt3FMUSSNIp8W2","0","1","1","0","1","Accurate_Individual","true","","A little","Anker Portable Charger ($54.99)",54.99,"FitnessScore","1",1,0,0,0,1
"2025-07-28 11:55:29","2025-07-28 12:07:48","100","738","True","2025-07-28 12:07:48","R_5WJqrxKfWWCVqm7","anonymous","EN","0.6000000238418579","35-44 years old","Male","","$150,000 or more","Exercising, going to the gym, or outdoor activities","I like to stay on the move and explore new environments","IM_2ghGARjtqABRyjY","2","1","0","0","0","Accurate_Individual","true","I read the product page and product descriptions","Definitely","Roku Streaming Stick 4K ($46.99)",46.99,"TravelScore","2",1,0,0,0,1
"2025-07-28 16:48:19","2025-07-28 16:49:02","100","43","True","2025-07-28 16:49:03","R_5P5xbZTvqSoz8Xp","anonymous","EN","0.8999999761581421","18-24 years old","Male","","$25,000-$49,999","Exercising, going to the gym, or outdoor activities","I focus on building a comfortable and stable home life","IM_2ghGARjtqABRyjY","1","1","1","0","0","Generic_Bundle","true","I read the product page and product descriptions","Definitely","Tile by Life360 Pro ($34.99)",34.99,"TravelScore","1",0,1,0,1,0
"2025-07-28 16:48:34","2025-07-28 16:49:14","100","40","True","2025-07-28 16:49:15","R_1NKT139gwd0WB6w","anonymous","EN","0.8999999761581421","35-44 years old","Female","","$75,000-$99,999","Spending time at home with family","I try to maintain a healthy body and mind","IM_2ghGARjtqABRyjY","1","1","1","0","0","Inaccurate_Bundle","true","I read the product page and product descriptions","A little","HD Mini Projector ($59.99)",59.99,"TravelScore","1",0,0,1,1,0
"2025-07-28 16:48:41","2025-07-28 16:49:18","100","37","True","2025-07-28 16:49:19","R_1t8tlYq1DitcrzX","anonymous","EN","0.8999999761581421","45-54 years old","Female","","Less than $25,000","Exploring new places or taking short trips","I like to stay on the move and explore new environments","IM_2ghGARjtqABRyjY","3","0","0","0","0","Accurate_Bundle","true","","A little","Bundle ($230.98)",230.98,"TravelScore","3",1,0,0,1,0
"2025-07-28 16:48:44","2025-07-28 16:49:34","100","49","True","2025-07-28 16:49:35","R_1E06m5anvsrgBAo","anonymous","EN","0.8999999761581421","25-34 years old","Male","","Less than $25,000","Watching shows, playing games, or relaxing","I like to stay on the move and explore new environments","IM_2ghGARjtqABRyjY","2","0","0","0","1","Inaccurate_Individual","true","I read the product page and product descriptions","A little","Apple Airpods 4 ($129.00)",129,"TravelScore","2",0,0,1,0,1
"2025-07-28 16:47:38","2025-07-28 16:49:39","100","121","True","2025-07-28 16:49:40","R_6Y6aPwSNWAOVLBK","anonymous","EN","0.8999999761581421","35-44 years old","Female","","Less than $25,000","Exercising, going to the gym, or outdoor activities","I enjoy entertainment and look for ways to relax and have fun","IM_b3K7jxlFVxXXbwy","0","1","0","0","2","Inaccurate_Individual","true","I read the product page and product descriptions","A little","Roku Streaming Stick 4K ($46.99)",46.99,"LeisureScore","2",0,0,1,0,1
"2025-07-28 16:49:06","2025-07-28 16:50:07","100","61","True","2025-07-28 16:50:08","R_1QlBfjACI6ziG0n","anonymous","EN","0.8999999761581421","25-34 years old","Female","","Less than $25,000","Watching shows, playing games, or relaxing","I like to stay on the move and explore new environments","IM_2ghGARjtqABRyjY","2","0","0","0","1","Accurate_Bundle","true","","Not at all","None of the above ($0.00)",0,"TravelScore","2",1,0,0,1,0
"2025-07-28 16:48:53","2025-07-28 16:50:21","100","87","True","2025-07-28 16:50:21","R_5ypeU6nPiKyRleC","anonymous","EN","0.8999999761581421","35-44 years old","Male","","Less than $25,000","Spending time at home with family","Advancing in my career or studies is my top priority","IM_ac1nk23vrUF5PBs","0","0","1","2","0","Accurate_Individual","true","I read the product page and product descriptions","A little","JBL Clip 5 Speaker ($79.95)",79.95,"WorkScore","2",1,0,0,0,1
"2025-07-28 16:49:34","2025-07-28 16:50:31","100","57","True","2025-07-28 16:50:32","R_7OwtP8NoqtzL6AF","anonymous","EN","1","18-24 years old","Male","","Less than $25,000","Spending time at home with family","I enjoy entertainment and look for ways to relax and have fun","IM_ac1nk23vrUF5PBs","0","0","1","1","1","Generic_Bundle","true","I read the product page and product descriptions","A little","HD Mini Projector ($59.99)",59.99,"FamilyScore","1",0,1,0,1,0
"2025-07-28 16:48:37","2025-07-28 16:50:38","100","120","True","2025-07-28 16:50:38","R_6IrYIDoOxoputOx","anonymous","EN","0.8999999761581421","35-44 years old","Female","","Less than $25,000","Spending time at home with family","I enjoy entertainment and look for ways to relax and have fun","IM_b3K7jxlFVxXXbwy","0","0","1","0","2","Generic_Individual","true","","A little","Apple Airpods 4 ($129.00)",129,"LeisureScore","2",0,1,0,0,1
"2025-07-28 16:48:46","2025-07-28 16:50:39","100","113","True","2025-07-28 16:50:40","R_1ZVUPYYR23KIdWN","anonymous","EN","1","35-44 years old","Male","","$50,000-$74,999","Watching shows, playing games, or relaxing","I try to maintain a healthy body and mind","IM_2ghGARjtqABRyjY","1","1","0","0","1","Accurate_Individual","true","","Definitely","Apple Airpods 4 ($129.00),Roku Streaming Stick 4K ($46.99)",175.99,"TravelScore","1",1,0,0,0,1
"2025-07-28 16:49:29","2025-07-28 16:50:44","100","75","True","2025-07-28 16:50:45","R_1HuKZyfJkeg0bkl","anonymous","EN","0.8999999761581421","35-44 years old","Female","","Less than $25,000","Catching up on work, studying, or learning something new","I enjoy entertainment and look for ways to relax and have fun","IM_2ghGARjtqABRyjY","1","0","0","1","1","Generic_Individual","true","I read the product page and product descriptions","A little","None of the above ($0.00)",0,"TravelScore","1",0,1,0,0,1
"2025-07-28 16:49:22","2025-07-28 16:50:46","100","84","True","2025-07-28 16:50:47","R_7ffmtU4icPQxagX","anonymous","EN","0.8999999761581421","35-44 years old","Female","","Less than $25,000","Catching up on work, studying, or learning something new","Advancing in my career or studies is my top priority","IM_2ghGARjtqABRyjY","1","0","0","2","0","Generic_Bundle","true","I read the product page and product descriptions","A little","Bundle ($230.98)",230.98,"WorkScore","2",0,1,0,1,0
"2025-07-28 16:50:18","2025-07-28 16:50:59","100","40","True","2025-07-28 16:50:59","R_5usPnafolXYNUYL","anonymous","EN","0.5","25-34 years old","Female","","Less than $25,000","Spending time at home with family","I try to maintain a healthy body and mind","IM_b3K7jxlFVxXXbwy","0","1","1","0","1","Inaccurate_Bundle","true","I read the product page and product descriptions","A little","Tile by Life360 Pro ($34.99)",34.99,"FitnessScore","1",0,0,1,1,0
"2025-07-28 16:49:42","2025-07-28 16:51:07","100","85","True","2025-07-28 16:51:08","R_7xNyZZfFq5sibV7","anonymous","EN","1","55-64 years old","Female","","$75,000-$99,999","Watching shows, playing games, or relaxing","I focus on building a comfortable and stable home life","IM_2ghGARjtqABRyjY","1","0","1","0","1","Generic_Individual","true","I read the product page and product descriptions","Definitely","Apple Airpods 4 ($129.00),Anker Portable Charger ($54.99),Roku Streaming Stick 4K ($46.99),Tile by Life360 Pro ($34.99)",265.97,"TravelScore","1",0,1,0,0,1
"2025-07-28 16:50:15","2025-07-28 16:51:16","100","60","True","2025-07-28 16:51:17","R_6fa2PWsYUn5q3LK","anonymous","EN","0.8999999761581421","18-24 years old","Female","","$50,000-$74,999","Spending time at home with family","I focus on building a comfortable and stable home life","IM_b3K7jxlFVxXXbwy","0","0","2","0","1","Inaccurate_Individual","true","I read the product page and product descriptions","A little","Roku Streaming Stick 4K ($46.99)",46.99,"FamilyScore","2",0,0,1,0,1
"2025-07-28 16:50:04","2025-07-28 16:51:35","100","91","True","2025-07-28 16:51:36","R_6odONEhaWxsaf9P","anonymous","EN","0.8999999761581421","65+ years old","Female","","$50,000-$74,999","Watching shows, playing games, or relaxing","I focus on building a comfortable and stable home life","IM_2ghGARjtqABRyjY","1","0","1","0","1","Accurate_Bundle","true","I read the product page and product descriptions","A little","JBL Clip 5 Speaker ($79.95)",79.95,"TravelScore","1",1,0,0,1,0
"2025-07-28 16:47:53","2025-07-28 16:51:35","100","222","True","2025-07-28 16:51:36","R_74cREl9azLCvnrL","anonymous","EN","0.8999999761581421","35-44 years old","Female","","$25,000-$49,999","Exercising, going to the gym, or outdoor activities","I try to maintain a healthy body and mind","IM_3lbQIKzQjdSdYiy","0","3","0","0","0","Inaccurate_Bundle","true","I read the product page and product descriptions","A little","Tile by Life360 Pro ($34.99)",34.99,"FitnessScore","3",0,0,1,1,0
"2025-07-28 16:50:48","2025-07-28 16:52:06","100","77","True","2025-07-28 16:52:07","R_6eQaHszFPUIR6ZT","anonymous","EN","0.8999999761581421","18-24 years old","Male","","Less than $25,000","Exploring new places or taking short trips","I like to stay on the move and explore new environments","IM_2ghGARjtqABRyjY","3","0","0","0","0","Accurate_Bundle","true","I read the product page and product descriptions","A little","None of the above ($0.00)",0,"TravelScore","3",1,0,0,1,0
"2025-07-28 16:50:20","2025-07-28 16:52:08","100","107","True","2025-07-28 16:52:08","R_6NEQ6CUHrz6WaOc","anonymous","EN","0.8999999761581421","35-44 years old","Male","","$25,000-$49,999","Watching shows, playing games, or relaxing","I focus on building a comfortable and stable home life","IM_2ghGARjtqABRyjY","1","0","1","0","1","Generic_Individual","true","I read the product page and product descriptions","A little","Apple Airpods 4 ($129.00),Anker Portable Charger ($54.99)",183.99,"TravelScore","1",0,1,0,0,1
"2025-07-28 16:50:33","2025-07-28 16:52:10","100","96","True","2025-07-28 16:52:11","R_1D66yG37O13ABEg","anonymous","EN","1","18-24 years old","Female","","$25,000-$49,999","Exercising, going to the gym, or outdoor activities","I focus on building a comfortable and stable home life","IM_3lbQIKzQjdSdYiy","0","2","1","0","0","Accurate_Individual","true","I read the product page and product descriptions","A little","Anker Portable Charger ($54.99),Tile by Life360 Pro ($34.99)",89.98,"FitnessScore","2",1,0,0,0,1
"2025-07-28 16:50:21","2025-07-28 16:52:14","100","112","True","2025-07-28 16:52:14","R_7PZAYZsYgHIQxZF","anonymous","EN","1","65+ years old","Female","","$50,000-$74,999","Exploring new places or taking short trips","I like to stay on the move and explore new environments","IM_2ghGARjtqABRyjY","3","0","0","0","0","Accurate_Bundle","true","I read the product page and product descriptions","Not at all","None of the above ($0.00)",0,"TravelScore","3",1,0,0,1,0
"2025-07-28 16:51:20","2025-07-28 16:52:23","100","62","True","2025-07-28 16:52:24","R_1gLemjATXvhUaWC","anonymous","EN","0.8999999761581421","25-34 years old","Female","","$50,000-$74,999","Spending time at home with family","I enjoy entertainment and look for ways to relax and have fun","IM_2ghGARjtqABRyjY","1","0","1","0","1","Inaccurate_Bundle","true","I read the product page and product descriptions","A little","Bundle ($230.98)",230.98,"TravelScore","1",0,0,1,1,0
"2025-07-28 16:50:42","2025-07-28 16:52:26","100","103","True","2025-07-28 16:52:26","R_3KvSt9aAhvruG8V","anonymous","EN","0.8999999761581421","25-34 years old","Female","","Less than $25,000","Exploring new places or taking short trips","I focus on building a comfortable and stable home life","IM_2ghGARjtqABRyjY","2","0","1","0","0","Inaccurate_Bundle","true","","A little","Bundle ($230.98)",230.98,"TravelScore","2",0,0,1,1,0
"2025-07-28 16:50:17","2025-07-28 16:52:27","100","129","True","2025-07-28 16:52:28","R_6CKMWWlLdYz97MT","anonymous","EN","1","65+ years old","Female","","$100,000-$149,999","Watching shows, playing games, or relaxing","I try to maintain a healthy body and mind","IM_2ghGARjtqABRyjY","1","1","0","0","1","Inaccurate_Individual","true","I read the product page and product descriptions","A little","None of the above ($0.00)",0,"TravelScore","1",0,0,1,0,1
"2025-07-28 16:51:42","2025-07-28 16:52:29","100","47","True","2025-07-28 16:52:30","R_3Qm2krUS4wIDZQE","anonymous","EN","0.8999999761581421","35-44 years old","Female","","$150,000 or more","Exploring new places or taking short trips","I focus on building a comfortable and stable home life","IM_2ghGARjtqABRyjY","2","0","1","0","0","Accurate_Individual","true","","A little","Apple Airpods 4 ($129.00)",129,"TravelScore","2",1,0,0,0,1
"2025-07-28 16:51:31","2025-07-28 16:52:33","100","62","True","2025-07-28 16:52:34","R_7GesTIyBdwWs0st","anonymous","EN","0.8999999761581421","45-54 years old","Male","","$25,000-$49,999","Watching shows, playing games, or relaxing","I focus on building a comfortable and stable home life","IM_b3K7jxlFVxXXbwy","0","0","1","0","2","Generic_Bundle","true","I read the product page and product descriptions","A little","Bundle ($230.98),HD Mini Projector ($59.99)",290.97,"LeisureScore","2",0,1,0,1,0
"2025-07-28 16:50:20","2025-07-28 16:52:36","100","135","True","2025-07-28 16:52:37","R_5L1PT1Yt1ADAoBb","anonymous","EN","0.8999999761581421","55-64 years old","Female","","$25,000-$49,999","Watching shows, playing games, or relaxing","I focus on building a comfortable and stable home life","IM_b3K7jxlFVxXXbwy","0","0","1","0","2","Accurate_Bundle","true","I read the product page and product descriptions","A little","Bundle ($230.98)",230.98,"LeisureScore","2",1,0,0,1,0
"2025-07-28 16:51:27","2025-07-28 16:52:40","100","73","True","2025-07-28 16:52:41","R_1qt3cJjBX1VWeAO","anonymous","EN","0.8999999761581421","55-64 years old","Female","","$25,000-$49,999","Watching shows, playing games, or relaxing","I enjoy entertainment and look for ways to relax and have fun","IM_b3K7jxlFVxXXbwy","0","0","0","0","3","Generic_Individual","true","I read the product page and product descriptions","A little","Roku Streaming Stick 4K ($46.99)",46.99,"LeisureScore","3",0,1,0,0,1
